"Status","Year","Disability","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Charity Commission","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Operational Delivery","5","5","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Other","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Unknown","10","5","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Economics","5","5","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Project Delivery","15","15","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Commercial","15","10","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Communications","10","10","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Counter Fraud","25","25","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","60","60","36830","35540"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Economics","20","20","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Finance","20","15","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Human Resources","50","45","43610","39930"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Operational Delivery","360","335","31650","27480"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Operational Research","5","5","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Other","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Policy","355","345","46670","41540"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Project Delivery","20","20","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Science and Engineering","70","65","40020","39650"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Statistics","5","5","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Economics","5","5","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Human Resources","5","5","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Other","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Policy","70","70","45170","37160"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Project Delivery","15","15","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","Commercial","30","30","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","Communications","25","20","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","Digital, Data and Technology","80","80","37080","36500"
"In post","2021","Declared disabled","Department for Education","Finance","65","65","40670","37100"
"In post","2021","Declared disabled","Department for Education","Human Resources","15","10","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","Operational Delivery","150","145","39610","36780"
"In post","2021","Declared disabled","Department for Education","Other","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","Policy","295","280","44090","37440"
"In post","2021","Declared disabled","Department for Education","Project Delivery","5","5","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","Property","45","45","46950","50250"
"In post","2021","Declared disabled","Department for Education","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Commercial","20","20","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Communications","25","25","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","70","70","42980","40660"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Economics","15","15","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Finance","40","40","40440","36970"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Human Resources","45","40","43230","39300"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Operational Delivery","390","360","26350","24920"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Other","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Policy","255","250","40030","35900"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Project Delivery","50","50","37570","35900"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Property","45","45","34610","30160"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Science and Engineering","155","145","30800","28550"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Social Research","5","5","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Statistics","5","5","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Veterinarian","20","15","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Communications","5","5","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Human Resources","15","15","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","International Trade","90","90","46700","48680"
"In post","2021","Declared disabled","Department for International Trade","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Operational Delivery","15","15","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Other","15","15","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Policy","15","15","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport","Commercial","25","25","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport","Communications","20","20","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport","Counter Fraud","5","5","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport","Digital, Data and Technology","75","70","37550","33350"
"In post","2021","Declared disabled","Department for Transport","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport","Finance","40","35","36250","32320"
"In post","2021","Declared disabled","Department for Transport","Human Resources","45","40","34940","32180"
"In post","2021","Declared disabled","Department for Transport","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport","Knowledge and Information Management","15","10","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport","Operational Delivery","920","780","24370","21590"
"In post","2021","Declared disabled","Department for Transport","Operational Research","10","10","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport","Other","30","25","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport","Policy","95","95","42270","38560"
"In post","2021","Declared disabled","Department for Transport","Project Delivery","35","35","45540","42470"
"In post","2021","Declared disabled","Department for Transport","Property","20","15","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport","Science and Engineering","5","5","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport","Security","10","10","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport","Social Research","5","5","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport","Statistics","10","10","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Department for Work and Pensions","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Work and Pensions","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Work and Pensions","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2021","Declared disabled","Department for Work and Pensions","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Work and Pensions","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Work and Pensions","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Work and Pensions","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Work and Pensions","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Work and Pensions","Operational Delivery","220","205","39630","35910"
"In post","2021","Declared disabled","Department for Work and Pensions","Policy","15","15","[c]","[c]"
"In post","2021","Declared disabled","Department for Work and Pensions","Project Delivery","5","5","[c]","[c]"
"In post","2021","Declared disabled","Department for Work and Pensions","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Work and Pensions","Science and Engineering","50","45","39430","35910"
"In post","2021","Declared disabled","Department for Work and Pensions","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Work and Pensions","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Work and Pensions","Unknown","15220","13360","27040","27570"
"In post","2021","Declared disabled","Department of Health and Social Care","Commercial","10","10","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care","Communications","10","10","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care","Digital, Data and Technology","15","15","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care","Finance","15","15","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care","Human Resources","30","30","48010","45250"
"In post","2021","Declared disabled","Department of Health and Social Care","Intelligence Analysis","10","10","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care","Knowledge and Information Management","35","30","33550","32830"
"In post","2021","Declared disabled","Department of Health and Social Care","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care","Medicine","15","15","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care","Operational Delivery","170","155","35160","29600"
"In post","2021","Declared disabled","Department of Health and Social Care","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care","Other","5","5","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care","Policy","75","70","47700","41240"
"In post","2021","Declared disabled","Department of Health and Social Care","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care","Science and Engineering","120","110","38760","36330"
"In post","2021","Declared disabled","Department of Health and Social Care","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","Inspector of Education and Training","5","5","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","Other","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Operational Delivery","40","35","30850","28100"
"In post","2021","Declared disabled","Food Standards Agency","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Policy","10","10","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Commercial","15","15","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Communications","10","10","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Digital, Data and Technology","25","25","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Economics","10","10","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Finance","15","15","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Human Resources","45","45","44170","39580"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Intelligence Analysis","20","20","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Internal Audit","5","5","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Knowledge and Information Management","20","20","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Legal","5","5","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Operational Delivery","90","85","33210","28000"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Operational Research","10","10","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Other","20","20","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Policy","350","345","46960","39430"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Project Delivery","65","60","41940","38600"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Property","30","30","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Security","30","30","35310","34310"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Unknown","25","25","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","Communications","5","5","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","Digital, Data and Technology","40","40","36860","38450"
"In post","2021","Declared disabled","HM Land Registry","Finance","5","5","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","Human Resources","10","5","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","Legal","20","15","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","Operational Delivery","400","345","28410","27130"
"In post","2021","Declared disabled","HM Land Registry","Other","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","Project Delivery","5","5","[c]","[c]"
