"Status","Year","Organisation","Region_ITL1","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","HEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","HEO","Undeclared","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","HEO","Unknown","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","SEO","Heterosexual / straight","10","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","HEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","HEO","Undeclared","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","SEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","EO","Heterosexual / straight","25","20","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","EO","Unknown","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","G7","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","HEO","Heterosexual / straight","50","45","37760","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","HEO","Undeclared","15","15","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","HEO","Unknown","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","SEO","Heterosexual / straight","30","30","46990","47610"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","SEO","Undeclared","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","SEO","Unknown","15","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","EO","Heterosexual / straight","30","25","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","EO","Unknown","30","25","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","HEO","Heterosexual / straight","35","30","32130","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","HEO","Undeclared","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","HEO","Unknown","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","SEO","Heterosexual / straight","15","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","EO","Heterosexual / straight","30","25","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","EO","Undeclared","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","EO","Unknown","25","25","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","HEO","Heterosexual / straight","40","35","33250","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","HEO","Undeclared","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","HEO","Unknown","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","SEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","EO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","EO","Unknown","20","20","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","HEO","Heterosexual / straight","35","30","32190","31040"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","HEO","Undeclared","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","SEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South East (England)","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South East (England)","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South East (England)","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South East (England)","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South East (England)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South East (England)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South East (England)","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South East (England)","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South East (England)","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South East (England)","HEO","Heterosexual / straight","10","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South East (England)","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South East (England)","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South East (England)","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South East (England)","SEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South East (England)","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South East (England)","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","HEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","HEO","Unknown","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","SEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","EO","Unknown","15","15","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","HEO","Heterosexual / straight","25","20","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","HEO","LGBO","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","HEO","Unknown","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","SEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","EO","Unknown","20","20","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","HEO","Heterosexual / straight","25","20","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","HEO","Unknown","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","SEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","EO","Unknown","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","HEO","Heterosexual / straight","20","15","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","HEO","Undeclared","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","HEO","Unknown","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","SEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","EO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","HEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","SEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","SEO","Undeclared","[c]","[c]","[c]","[c]"
