"Status","Year","Organisation","Profession_of_post","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","London","London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","East Midlands (England)","Outside London","90","85","28930","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","East of England","Outside London","40","35","34290","34380"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","London","London","95","95","40210","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","North East (England)","Outside London","130","120","29540","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","North West (England)","Outside London","135","125","29740","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Scotland","Outside London","100","90","29740","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","South East (England)","Outside London","30","25","34740","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","South West (England)","Outside London","50","45","32790","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Wales","Outside London","90","85","30260","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","West Midlands (England)","Outside London","85","75","30520","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Yorkshire and The Humber","Outside London","65","60","31440","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Research","London","London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Research","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","London","London","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","London","London","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","East Midlands (England)","Outside London","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","South East (England)","Outside London","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","West Midlands (England)","Outside London","15","15","31630","29180"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","East Midlands (England)","Outside London","40","40","29260","26520"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","East of England","Outside London","120","110","29530","28910"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","London","London","85","85","33370","31690"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","North East (England)","Outside London","15","15","32530","27560"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","North West (England)","Outside London","220","205","25480","24360"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Scotland","Outside London","80","75","26940","25190"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","South East (England)","Outside London","170","165","29480","26520"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","South West (England)","Outside London","265","245","25510","24920"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Wales","Outside London","245","225","25010","21050"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","West Midlands (England)","Outside London","180","170","26080","24920"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Yorkshire and The Humber","Outside London","150","145","27250","25210"
"In post","2021","Animal and Plant Health Agency","Other","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","South East (England)","Outside London","10","10","39030","36850"
"In post","2021","Animal and Plant Health Agency","Other","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","West Midlands (England)","Outside London","25","20","33070","30860"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","East Midlands (England)","Outside London","15","15","32800","29180"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","East of England","Outside London","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","London","London","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","North East (England)","Outside London","20","20","26600","21300"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","North West (England)","Outside London","25","25","25650","22770"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Scotland","Outside London","10","10","29040","25830"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","South East (England)","Outside London","455","430","32730","28630"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","South West (England)","Outside London","50","45","28340","25320"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Wales","Outside London","15","15","24690","22980"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","West Midlands (England)","Outside London","15","10","27620","25150"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Yorkshire and The Humber","Outside London","40","35","33670","30230"
"In post","2021","Animal and Plant Health Agency","Unknown","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","South West (England)","Outside London","25","25","22770","21050"
"In post","2021","Animal and Plant Health Agency","Veterinarian","East Midlands (England)","Outside London","20","20","43420","37930"
"In post","2021","Animal and Plant Health Agency","Veterinarian","East of England","Outside London","20","15","44260","40660"
"In post","2021","Animal and Plant Health Agency","Veterinarian","London","London","15","15","53210","54650"
"In post","2021","Animal and Plant Health Agency","Veterinarian","North East (England)","Outside London","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","North West (England)","Outside London","35","30","45120","48740"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Scotland","Outside London","40","40","42930","37480"
"In post","2021","Animal and Plant Health Agency","Veterinarian","South East (England)","Outside London","30","30","50100","47550"
"In post","2021","Animal and Plant Health Agency","Veterinarian","South West (England)","Outside London","80","75","43530","38080"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Wales","Outside London","55","55","42290","37480"
"In post","2021","Animal and Plant Health Agency","Veterinarian","West Midlands (England)","Outside London","35","30","45090","46120"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Yorkshire and The Humber","Outside London","15","15","38100","37530"
"In post","2021","Attorney General's Office","Communications","London","London","10","10","42920","38290"
"In post","2021","Attorney General's Office","Legal","London","London","15","15","69090","65680"
"In post","2021","Attorney General's Office","Other","London","London","10","10","32820","30720"
"In post","2021","Attorney General's Office","Policy","London","London","5","5","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Communications","London","London","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data and Technology","London","London","5","5","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Finance","London","London","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","London","London","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Intelligence Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Knowledge and Information Management","London","London","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Operational Delivery","London","London","15","15","40110","37300"
"In post","2021","Cabinet Office (excl. agencies)","Operational Delivery","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Operational Delivery","North West (England)","Outside London","10","10","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Operational Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other","London","London","35","35","45790","38430"
"In post","2021","Cabinet Office (excl. agencies)","Other","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Policy","London","London","30","25","54580","54700"
"In post","2021","Cabinet Office (excl. agencies)","Project Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","East Midlands (England)","Outside London","25","25","48110","39190"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","East of England","Outside London","115","110","46980","38500"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","London","London","6410","6325","49820","42270"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","North East (England)","Outside London","415","385","29410","24570"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","North West (England)","Outside London","440","435","46940","49700"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Northern Ireland","Outside London","10","10","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Scotland","Outside London","80","80","48190","49700"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","South East (England)","Outside London","220","210","42660","33950"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","South West (England)","Outside London","185","185","53730","49700"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Unknown","Unknown","595","590","36190","32000"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Wales","Outside London","65","65","38410","30370"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","West Midlands (England)","Outside London","50","50","62730","52530"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Yorkshire and The Humber","Outside London","735","700","36340","33030"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Commercial","East of England","Outside London","10","10","43010","43930"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Commercial","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Communications","East of England","Outside London","5","5","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Communications","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Corporate Finance","East of England","Outside London","10","10","31730","26890"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","East of England","Outside London","15","15","30910","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","East of England","Outside London","5","5","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Knowledge and Information Management","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","East of England","Outside London","50","45","33850","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","South West (England)","Outside London","10","10","33900","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Other","East of England","Outside London","10","10","44330","32920"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Other","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","East of England","Outside London","350","330","34260","30220"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","South West (England)","Outside London","125","120","32530","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Yorkshire and The Humber","Outside London","5","5","[c]","[c]"
"In post","2021","Charity Commission","Commercial","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","London","London","10","5","[c]","[c]"
"In post","2021","Charity Commission","Communications","North West (England)","Outside London","5","5","[c]","[c]"
"In post","2021","Charity Commission","Communications","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Corporate Finance","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","London","London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","London","London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","North West (England)","Outside London","40","40","37310","37910"
"In post","2021","Charity Commission","Digital, Data and Technology","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","North West (England)","Outside London","5","5","[c]","[c]"
"In post","2021","Charity Commission","Finance","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","North West (England)","Outside London","10","10","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Intelligence Analysis","London","London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Intelligence Analysis","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","International Trade","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Knowledge and Information Management","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","London","London","10","10","53100","52600"
"In post","2021","Charity Commission","Legal","North West (England)","Outside London","10","10","51150","51830"
"In post","2021","Charity Commission","Legal","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","London","London","10","10","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","North West (England)","Outside London","40","40","30870","29160"
"In post","2021","Charity Commission","Operational Delivery","South West (England)","Outside London","5","5","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other","London","London","5","5","[c]","[c]"
"In post","2021","Charity Commission","Other","North West (England)","Outside London","10","10","29050","26800"
"In post","2021","Charity Commission","Other","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Policy","London","London","5","5","[c]","[c]"
"In post","2021","Charity Commission","Policy","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Policy","South West (England)","Outside London","5","5","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","London","London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","North West (England)","Outside London","10","10","32950","29160"
"In post","2021","Charity Commission","Project Delivery","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Security","London","London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Security","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","London","London","30","30","40550","31770"
"In post","2021","Charity Commission","Unknown","North West (England)","Outside London","160","150","31070","29160"
"In post","2021","Charity Commission","Unknown","South West (England)","Outside London","25","25","35270","29550"
"In post","2021","Charity Commission","Unknown","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Commercial","Wales","Outside London","5","5","[c]","[c]"
"In post","2021","Companies House","Communications","Wales","Outside London","20","20","36610","36240"
"In post","2021","Companies House","Digital, Data and Technology","Wales","Outside London","255","250","38840","38000"
"In post","2021","Companies House","Finance","Wales","Outside London","60","55","30930","27460"
"In post","2021","Companies House","Human Resources","Wales","Outside London","85","80","33040","27460"
"In post","2021","Companies House","Knowledge and Information Management","Wales","Outside London","5","5","[c]","[c]"
"In post","2021","Companies House","Legal","Wales","Outside London","5","5","[c]","[c]"
"In post","2021","Companies House","Operational Delivery","London","London","5","5","[c]","[c]"
"In post","2021","Companies House","Operational Delivery","Northern Ireland","Outside London","20","20","25640","22490"
"In post","2021","Companies House","Operational Delivery","Scotland","Outside London","40","40","24810","22490"
"In post","2021","Companies House","Operational Delivery","Wales","Outside London","510","450","24480","22490"
"In post","2021","Companies House","Other","Wales","Outside London","20","20","52090","42610"
"In post","2021","Companies House","Policy","Wales","Outside London","30","25","41520","39820"
"In post","2021","Companies House","Project Delivery","Wales","Outside London","15","15","43350","46140"
"In post","2021","Companies House","Property","Wales","Outside London","10","5","[c]","[c]"
"In post","2021","Companies House","Security","Wales","Outside London","5","5","[c]","[c]"
"In post","2021","Competition and Markets Authority","Commercial","London","London","10","10","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","London","London","35","35","48650","42290"
"In post","2021","Competition and Markets Authority","Corporate Finance","London","London","15","15","46260","43490"
"In post","2021","Competition and Markets Authority","Digital, Data and Technology","London","London","65","60","57200","55860"
"In post","2021","Competition and Markets Authority","Digital, Data and Technology","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Economics","London","London","90","85","63040","59890"
"In post","2021","Competition and Markets Authority","Economics","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Human Resources","London","London","35","35","50820","45980"
"In post","2021","Competition and Markets Authority","Intelligence Analysis","London","London","30","30","53750","46940"
"In post","2021","Competition and Markets Authority","Intelligence Analysis","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Knowledge and Information Management","London","London","5","5","[c]","[c]"
"In post","2021","Competition and Markets Authority","Legal","London","London","120","115","70510","72430"
"In post","2021","Competition and Markets Authority","Legal","Scotland","Outside London","10","10","[c]","[c]"
"In post","2021","Competition and Markets Authority","Policy","London","London","25","25","66900","63370"
"In post","2021","Competition and Markets Authority","Policy","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Project Delivery","London","London","340","330","61130","56630"
"In post","2021","Competition and Markets Authority","Project Delivery","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Project Delivery","Scotland","Outside London","30","30","55930","55860"
"In post","2021","Competition and Markets Authority","Project Delivery","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Property","London","London","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Property","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Security","London","London","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Statistics","London","London","5","5","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Digital, Data and Technology","Scotland","Outside London","5","5","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Finance","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Legal","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Operational Delivery","Scotland","Outside London","290","270","25500","22570"
"In post","2021","Criminal Injuries Compensation Authority","Policy","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Commercial","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Commercial","East of England","Outside London","85","85","34770","34800"
"In post","2021","Crown Commercial Service","Commercial","London","London","20","20","47540","40730"
"In post","2021","Crown Commercial Service","Commercial","North West (England)","Outside London","185","180","33650","34800"
"In post","2021","Crown Commercial Service","Commercial","Wales","Outside London","65","65","31160","28540"
"In post","2021","Crown Commercial Service","Commercial","West Midlands (England)","Outside London","10","10","29680","31560"
"In post","2021","Crown Commercial Service","Commercial","Yorkshire and The Humber","Outside London","5","5","[c]","[c]"
"In post","2021","Crown Commercial Service","Communications","London","London","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Communications","North West (England)","Outside London","15","15","35870","34270"
"In post","2021","Crown Commercial Service","Digital, Data and Technology","East of England","Outside London","40","40","35620","29990"
"In post","2021","Crown Commercial Service","Digital, Data and Technology","London","London","25","25","50800","49300"
"In post","2021","Crown Commercial Service","Digital, Data and Technology","North West (England)","Outside London","40","40","40510","36500"
"In post","2021","Crown Commercial Service","Digital, Data and Technology","Wales","Outside London","10","10","[c]","[c]"
"In post","2021","Crown Commercial Service","Digital, Data and Technology","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Finance","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Finance","North West (England)","Outside London","25","25","39550","35420"
"In post","2021","Crown Commercial Service","Finance","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Human Resources","East of England","Outside London","10","5","[c]","[c]"
"In post","2021","Crown Commercial Service","Human Resources","London","London","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Human Resources","North West (England)","Outside London","20","20","36700","34800"
"In post","2021","Crown Commercial Service","Human Resources","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Operational Delivery","East of England","Outside London","25","25","34000","27770"
"In post","2021","Crown Commercial Service","Operational Delivery","London","London","20","20","52170","49300"
"In post","2021","Crown Commercial Service","Operational Delivery","North West (England)","Outside London","100","95","44840","46920"
"In post","2021","Crown Commercial Service","Operational Delivery","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Operational Delivery","Wales","Outside London","25","25","31420","28890"
"In post","2021","Crown Commercial Service","Operational Delivery","West Midlands (England)","Outside London","15","15","26710","27770"
"In post","2021","Crown Commercial Service","Project Delivery","East of England","Outside London","5","5","[c]","[c]"
"In post","2021","Crown Commercial Service","Project Delivery","London","London","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Project Delivery","North West (England)","Outside London","10","10","49460","47240"
"In post","2021","Crown Commercial Service","Project Delivery","Wales","Outside London","10","10","[c]","[c]"
"In post","2021","Crown Commercial Service","Project Delivery","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","North West (England)","Outside London","5","5","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Communications","Scotland","Outside London","10","10","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Digital, Data and Technology","Scotland","Outside London","50","50","40730","36930"
"In post","2021","Crown Office and Procurator Fiscal Service","Finance","Scotland","Outside London","20","20","39520","38610"
"In post","2021","Crown Office and Procurator Fiscal Service","Human Resources","Scotland","Outside London","30","30","33810","31110"
"In post","2021","Crown Office and Procurator Fiscal Service","Knowledge and Information Management","Scotland","Outside London","20","20","38010","31720"
